Address,Avg Time Between Received Transactions (mins),Time Span of Transactions (mins),Unique Senders to Receiver,Min Value Received,Max Value Received,Avg Value Received,Total Transactions,Total Cryptocurrency Received,Remaining Cryptocurrency Balance
0x2d335c7553d5a5e529321559df25ea8316c02672,0.00,0.00,1,0.104885897920346041,0.104885897920346041,0.104885897920346041,1,0.104885897920346041,0.104885897920346041
0xb06a0cfd94010bb696490bf4d36fb0660f4b8b4f,0.00,0.00,1,0.124186664649924186,0.124186664649924186,0.124186664649924186,1,0.124186664649924186,0.124186664649924186
0x6d5a7597896a703fe8c85775b23395a48f971305,4828.20,4828.20,1,0.037106160480230223,0.042831965219687157,0.039969062849958686,2,0.079938125699917373,0.079938125699917373
0x9cc2d35be4d953dd54bb6f75f518909990e82e4f,3213.67,28923.00,1,0.024830740157133220,0.199901362281054235,0.085980917546603530,10,0.859809175466035303,0.859809175466035303
0xd4e96ef8eee8678dbff4d535e033ed1a4f7605b7,321.71,29275.20,1,0.017065815230334069,2.517657508764085339,0.156821976922958017,92,14.427621876912137822,14.427621876912137822
0x5be9b269a83018e3192d6139dc6431de5656ea8a,603.81,28982.80,1,0.016060663260536946,0.695376033585228370,0.112451344829740563,49,5.510115896657287848,5.510115896657287848
0xf114c00c9ef780128ab9309fe8407071e114182a,28103.00,28103.00,1,0.028202956950227880,0.042952591344591930,0.035577774147409903,2,0.071155548294819806,0.071155548294819806
0x129589472f6f11eb57720ef1793f8b2994d0ee55,6522.20,19566.60,1,0.027506800844233785,0.534670932722356107,0.161800972886562394,4,0.647203891546249577,0.647203891546249577
0x7d87c22e5a259d80d35b75e6fb841efccc2e7abc,5821.75,23287.00,1,0.029719512263009722,0.178799792791073803,0.107362073152889453,5,0.536810365764447295,0.536810365764447295
0xea7459c7e0ce2ce114ee4da948c5d994d6cd7ed1,1520.36,25846.20,1,0.032234119787103679,0.816683764908608389,0.163077871449197609,18,2.935401686085556960,2.935401686085556960
